table_id,section_label,marker,text,src_row
Mt470,臺南工業專門學校(1),1,"臺南高等工業學校於民國二十年設立,三十一年改稱臺南工業專門學校,初設機械、電氣、應用化學三科,後增設土木、建築、電氣化學等三科,合為六科.招收中學校畢業生,修業年限三年.光復後改稱省立臺南工業專科學校,旋改為省立工學院.",56
Mt470,臺北經濟專門學校(1),1,"臺北高等商業學校於民國八年設立,三十二年改稱臺北經濟專門學校,初設本科,分第一第二兩部.二十五年增設貿易專修科,三十年又增設東亞經濟專修科,三十二年貿易專修科改為南方經濟專修科.本科修業年限三年,專修科修業年限一年,入學資格,均為中學校畢業者.光復後改稱省立臺北商業專科學校,旋改為省立法商學院.",91
Mt470,臺北經濟專門學校(1),2,民國十五年另於臺南設高等商業學校民國十八年裁撤.,91
Mt470,臺北帝國大學附屬醫學專門部(1),1,"臺北帝國大學附屬醫學專門部,原為前總督府醫學校,該校設立於民國前十三年,專收臺籍學生,為本省專門學校中歷史最久者.民國八年改稱為醫學專門學校,日籍學生自此始兼收之.其入學程度,具有公學校畢業為合格,修業年限,科四年,本科四年.民國十一年改修業年限為四年,收中學校畢業或同等學力者.校內設有熱帶醫學專攻科及研究科,前者修業年限一年,後者修業年限三年.民國二十五年該校附屬於帝國大學醫學部,改稱為醫學專門部.",148
Mt471,師範學校(1),1,"民國前十六年設立國語學校,旋即增設師範部,以培養日籍教員.民國前二年又分設小學師範部及公學師範部,學生多為日籍.民國八年該校改為臺北師範學校,並將臺南分校改為臺南師範學校.修業年限,日人在中學校畢業者定為一年,臺人在公學校畢業者,則定為預科一年、本科四年,另設有公學校教員講習科,民國十一年起師範學校得為官立、州立或廳立.州立或廳立須經總督府之認可.民國二十二年三月,修業年限改為普通科五年、演習科二年、共為七年,女子則因普通科縮短一年定為六年,民國三十二年師範學制廢演習科,分為預科本科.本科收預科及中學校或高等女學校畢業生,修業年限三年.預科收國民學校高等科畢業生,修業年限二年.講習科收中學校或高等女學校畢業者,修業年限一年,收國民學校高等科畢業者,修業年限三年.該校均直屬總督府文教局.光復後改稱省立臺北、臺中、臺南等師範學校.",53
Mt472,臺北高等學校(1),1,"民國十一年四月設立臺北高等學校.先設尋常科,招收尋常小學畢業或同等學力者,修業年限四年.十四年添設高等科,又分為文理兩科,招收尋常科畢業及中學修畢第四學年或有同等學力者.并規定以半數招考,半數由尋常科畢業及各中學校長保送.修業年限三年,畢業後升入臺北帝國大學.戰時高等科修業年限縮短為二年,光復後改稱省立臺北高級中學.",31
Mt472,臺北帝國大學預科(1),1,"臺北帝國大學預科設立於民國三十年四月.內分文理兩科,理科再分理農類、工類及醫類.修業年限原定三年,暫改二年,與高等學校同,畢業後升入帝國大學.",47
Mt472,中學校(1),1,"本省中學校民國十年以前本省人日本人區別受教.本省人之中等教育始于民國四年在臺中設立中學校,民國十年改為州立,修業年限四年,入學資格限公學校修畢四年課程或四年制公學校畢業者.日本人中等教育始自民國前十五年,原於國語學校附屬學校中尋常中學科,民國前五年五月獨立設置,分第一部及第二部.第一部修業年限六年,入學資格為修畢尋常小學第五學年課程者.另設高等科,修業年限二年,第一部畢業者得升入之.第二部修業年限五年,入學資格為尋常小學畢業者.另設補習科,修業年限一年半,第二部畢業者得升入之.民國十年四月均改州立.翌年撤銷臺日人之區別,並先後于各州設立中學校,修業年限定為五年,但修畢四年可投攷高等學校.民國三十一年起縮短為四年.光復後原有各公立中學校一律改為省立中學.",94
Mt472,高等女學校(1),1,"女子中學開始自民國前十五年,原於國語學校附設第一附屬學校女子分教場,僅教授普通常識及技藝,民國前十年改稱為第二附屬學校,民國八年改稱為臺北女子高等普通學校.內設本科及師範科,師範科收容本科畢業生.一年畢業,給予教員資格.至日籍女子中學教育,則開始於民國前八年附設於臺北國語學校,後隸臺北中學校.民國前三年三月改稱為高等女學校.民國十一年實行臺日人共學制度後,各該校均為州立,其他各州遂亦先後設立,修業年限定為四年.光復後改稱省立女子中學.",152
Mt473,農林學校(1)(2),1,"本省實業教育創始於民國八年.對本省人在臺北設工業學校,臺中設商業學校,嘉義設農林學校,修業年限三年或四年.對日本人在臺北設商業及工業二校,修業年限五年.民國十一年改為臺共日人共學制.實業學校多為州立,分為農業、工業、商業、水產四種.修業年限最初規定尋常小學校畢業者,三年或五年,高等小學校畢業者,二年或三年,必要時得延長一年.戰時修業年限,一律改為四年.入學資格為國民學校修畢程度.光復後一律改為省立,依其設科性質分別設為某科職業學校.",34
Mt473,農林學校(1)(2),2,民國十七年度起包括農業學校.,34
Mt473,農林學校(1)(2),3,"本欄總計不符係原本錯誤,無法修正,姑仍其舊.",34
Mt473,工業學校(1),1,民國七年度以前係工業講習所之事實.,82
Mt473,實業補習學校(1),1,"民國八年本省一部份公學校,已附設簡易實業學校,民國十一年始設立實業補習學校.入學資格為修畢小學校或公學校程度,修業人限為二年以內,必要時得延長至三年.光復後一部份按其性質併入所在地之省立職業學校,另視其設備成績及學級數,分別改為縣市立初級職業學校或中等職業補習學校.",163
