file,table_id,section,section_label,src_row,kind,text
Edu_Mt470,Mt470,4,臺北帝國大學附屬醫學專門部(1),148,note,"附註:(1)臺北帝國大學附屬醫學專門部,原為前總督府醫學校,該校設立於民國前十三年,專收臺籍學生,為本省專門學校中歷史最久者.民國八年改稱為醫學專門學校,日籍學生自此始兼收之.其入學程度,具有公學校畢業為合格,修業年限,科四年,本科四年.民國十一年改修業年限為四年,收中學校畢業或同等學力者.校內設有熱帶醫學專攻科及研究科,前者修業年限一年,後者修業年限三年.民國二十五年該校附屬於帝國大學醫學部,改稱為醫學專門部."
Edu_Mt470,Mt470,4,臺北帝國大學附屬醫學專門部(1),152,source,材料來源:根據前臺灣總督府各年統計書及學事年報一覽材料編製.
Edu_Mt471,Mt471,1,師範學校(1),53,note,"附註:(1)民國前十六年設立國語學校,旋即增設師範部,以培養日籍教員.民國前二年又分設小學師範部及公學師範部,學生多為日籍.民國八年該校改為臺北師範學校,並將臺南分校改為臺南師範學校.修業年限,日人在中學校畢業者定為一年,臺人在公學校畢業者,則定為預科一年、本科四年,另設有公學校教員講習科,民國十一年起師範學校得為官立、州立或廳立.州立或廳立須經總督府之認可.民國二十二年三月,修業年限改為普通科五年、演習科二年、共為七年,女子則因普通科縮短一年定為六年,民國三十二年師範學制廢演習科,分為預科本科.本科收預科及中學校或高等女學校畢業生,修業年限三年.預科收國民學校高等科畢業生,修業年限二年.講習科收中學校或高等女學校畢業者,修業年限一年,收國民學校高等科畢業者,修業年限三年.該校均直屬總督府文教局.光復後改稱省立臺北、臺中、臺南等師範學校."
Edu_Mt471,Mt471,1,師範學校(1),61,source,材料來源:根據前臺灣總督府各年統計書及學事年報一覽材料編製.
Edu_Mt472,Mt472,1,臺北高等學校(1),31,note,"附註:(1)民國十一年四月設立臺北高等學校.先設尋常科,招收尋常小學畢業或同等學力者,修業年限四年.十四年添設高等科,又分為文理兩科,招收尋常科畢業及中學修畢第四學年或有同等學力者.并規定以半數招考,半數由尋常科畢業及各中學校長保送.修業年限三年,畢業後升入臺北帝國大學.戰時高等科修業年限縮短為二年,光復後改稱省立臺北高級中學."
Edu_Mt472,Mt472,2,臺北帝國大學預科(1),47,note,"附註:(1)臺北帝國大學預科設立於民國三十年四月.內分文理兩科,理科再分理農類、工類及醫類.修業年限原定三年,暫改二年,與高等學校同,畢業後升入帝國大學."
Edu_Mt472,Mt472,3,中學校(1),94,note,"附註:(1)本省中學校民國十年以前本省人日本人區別受教.本省人之中等教育始于民國四年在臺中設立中學校,民國十年改為州立,修業年限四年,入學資格限公學校修畢四年課程或四年制公學校畢業者.日本人中等教育始自民國前十五年,原於國語學校附屬學校中尋常中學科,民國前五年五月獨立設置,分第一部及第二部.第一部修業年限六年,入學資格為修畢尋常小學第五學年課程者.另設高等科,修業年限二年,第一部畢業者得升入之.第二部修業年限五年,入學資格為尋常小學畢業者.另設補習科,修業年限一年半,第二部畢業者得升入之.民國十年四月均改州立.翌年撤銷臺日人之區別,並先後于各州設立中學校,修業年限定為五年,但修畢四年可投攷高等學校.民國三十一年起縮短為四年.光復後原有各公立中學校一律改為省立中學."
Edu_Mt472,Mt472,4,高等女學校(1),152,note,"附註:(1)女子中學開始自民國前十五年,原於國語學校附設第一附屬學校女子分教場,僅教授普通常識及技藝,民國前十年改稱為第二附屬學校,民國八年改稱為臺北女子高等普通學校.內設本科及師範科,師範科收容本科畢業生.一年畢業,給予教員資格.至日籍女子中學教育,則開始於民國前八年附設於臺北國語學校,後隸臺北中學校.民國前三年三月改稱為高等女學校.民國十一年實行臺日人共學制度後,各該校均為州立,其他各州遂亦先後設立,修業年限定為四年.光復後改稱省立女子中學."
Edu_Mt472,Mt472,4,高等女學校(1),157,source,材料來源:根據前臺灣總督府各年統計書及學事年報一覽材料編製.
Edu_Mt473,Mt473,1,農林學校(1)(2),34,note,"附註:(1)本省實業教育創始於民國八年.對本省人在臺北設工業學校,臺中設商業學校,嘉義設農林學校,修業年限三年或四年.對日本人在臺北設商業及工業二校,修業年限五年.民國十一年改為臺共日人共學制.實業學校多為州立,分為農業、工業、商業、水產四種.修業年限最初規定尋常小學校畢業者,三年或五年,高等小學校畢業者,二年或三年,必要時得延長一年.戰時修業年限,一律改為四年.入學資格為國民學校修畢程度.光復後一律改為省立,依其設科性質分別設為某科職業學校.(2)民國十七年度起包括農業學校.(3)本欄總計不符係原本錯誤,無法修正,姑仍其舊."
Edu_Mt473,Mt473,2,工業學校(1),82,note,附註:(1)民國七年度以前係工業講習所之事實.
Edu_Mt473,Mt473,5,實業補習學校(1),163,note,"附註:(1)民國八年本省一部份公學校,已附設簡易實業學校,民國十一年始設立實業補習學校.入學資格為修畢小學校或公學校程度,修業人限為二年以內,必要時得延長至三年.光復後一部份按其性質併入所在地之省立職業學校,另視其設備成績及學級數,分別改為縣市立初級職業學校或中等職業補習學校."
Edu_Mt473,Mt473,5,實業補習學校(1),166,source,材料來源:根據前臺灣總督府各年統計書及學事年報一覽材料編製.
Edu_Mt474,Mt474,1,課程第一號表,56,note,"附註:(1)本省初等普通教育,過去有小學校與公學校之分,民國三十年三月始一律改為國民學校.最初省民(包括高山族)初等教育,始於芝山巖之日語講習,經過官立國語練習所階段,始改為公學校,收容不常用日語之本省兒童.其制度亦時有變更,至民國十一年始與公立小學校制度同時確立.公學校一般經費由各市街庄支出,教員薪俸由州廳負擔.又警務局主管之高山族教育所,由警察兼任教員,係民國前八年所創設.公學校入學年齡規定為滿六歲以上,修業年限分為六年四年二種.教科書由總督府編輯,六年制公學校教學科目,多與小學校相同,漢文原係隨意科,「九一八q」事變以後禁止教授.所謂小學校,於民國前十五年附設於臺北國語學校,專收日人,民國十一年規定經費由市街庄或州廳負擔,並給予學生住宿及交通之便利.至民國二十五年,日籍學齡兒童就學者已達百分之九十九,修業年限尋常小學校為六年,本省人能用日語者,亦許入學,但人數極少,僅佔學生總數百分之五左右.以上二種學校,後改為國民學校,分初等科及高等科,並得單獨設置,修業年限,初等科六年、高等科二年,高等科畢業後得入特修科,修業年限一年.國民學校分實施課程第一號表,第二號表及第三號表三種.課程第一號表之國民學校,即以前之小學校,收容日本兒童及本省人能用日語者.課程第二號表及第三號表之國民學校即以前之公學校,收容本省籍兒童.就中課程第三號表者,專收高山族兒童,不設高等科,警務局主管之高山族教育所仍舊.光復後,改革不平等之教育制度,原有山地教育所,國民學校分教場,一律改為國民學校,並廢止原有國民學校第一第二及第三課程表之別."
Edu_Mt474,Mt474,1,課程第一號表,63,source,材料來源:根據前臺灣總督府各年統計書及學事年報一覽材料編製.
Edu_Mt475,Mt475,1,,31,note,"附註:(1)盲啞學校臺北臺南各有一所,原為私立,臺南於民國十一年,臺北於民國十七年改為州立.對於失明及聾啞者,施以普通教育,授以生活所必需之技藝.內分普通科及技藝科,必要時得設專修科.修業年限普通科須就六年以內定之,技藝科須就五年以內定之,專修科須就三年以內定之.光復後改稱省立臺北盲啞學校及省立臺南盲啞學校."
Edu_Mt475,Mt475,1,,35,source,材料來源:根據前臺灣總督府各年統計書及學事年報一覽材料編製.
Edu_Mt476,Mt476,1,,54,note,"附註:(1)特種學校均為私立,以教授一般相當高等普通教育或職業技能者,類似私立中學校、實業學校,惟不受學制之限制."
Edu_Mt476,Mt476,1,,55,source,材料來源:根據前臺灣總督府各年統計書及學事年報一覽材料編製.
Edu_Mt477,Mt477,1,,48,note,"附註:(1)原名書房係本省人私設以臺語教授漢文者.日人統治時代為加強奴化教育,取締書房之設立,故逐年減少,至民國二十八年僅餘十七所,翌年全部被迫停止."
Edu_Mt477,Mt477,1,,50,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Edu_Mt478,Mt478,1,,48,note,"附註:(1)本省幼稚園設立於民國前八年.後逐漸發展,至民國三十三年計達九十五所,惟公立者僅有二所,餘均私立."
Edu_Mt478,Mt478,1,,49,source,材料來源:根據前臺灣總督府各年統計書及學事年報一覽材料編製.
Edu_Mt479,Mt479,1,,38,note,"附註:(1)山地教育所係日人統治時代,對高山族兒童教育措施.由警務局會同文教局主持,教員則以警察兼充.修業年限四年,至民國三十二年,始實施六學年制度.此種帶有岐視性質之教育,光復後一律改為國民學校,授以同等課程,教育經費亦直接由省庫支撥並選拔優良兒童,公費升學各中學及師範學校."
Edu_Mt479,Mt479,1,,41,source,材料來源:根據前臺灣總督府各年統計書及學事年報一覽材料編製.
Edu_Mt480,Mt480,1,,45,note,附註:(1)閱覽人數不包括兒童閱覽數字.(2)民國前五年及民國前四年停止圖書閱覽.
Edu_Mt480,Mt480,1,,46,source,材料來源:根據前臺灣總督府各年統計書及學事年報一覽材料編製.
Edu_Mt481,Mt481,1,本省人(2),34,note,附註:(1)學齡兒童以滿六歲至十四歲者計算。(2)民國十年度以前不包括高山族學齡兒童。
Edu_Mt481,Mt481,2,日本人,70,note,附註:(1)學齡兒童以滿六歲至十四歲者計算。(2)民國十年度以前不包括高山族學齡兒童。
Edu_Mt482,Mt482,1,,46,note,附註:(1)民國三十一年度以前係理農學部事實。(2)民國十八年度以前普通科包括演習科、講習科人數並包括女生數。(3)民國十八年度以前尋常科包括高等科人數。(4)係女生數。
Edu_Mt482,Mt482,1,,47,source,材料來源:根據前臺灣總督府各年統計書及學事年報一覽材料編製。
Edu_Mt483,Mt483,2,日本人,57,source,材料來源:根據前臺灣總督府各年統計書及學事年報一覽材料編製。
Hygiene_Mt484,Mt484,1,,52,note,附註：(1)公立係指州廳以下各地方機關所設立者。(2)助產士欄中包括產婆及助產婦。
Hygiene_Mt484,Mt484,1,,54,source,材料來源：根據前臺灣總督府各年統計書材料編製。
Hygiene_Mt485,Mt485,1,,45,note,"附註:(1)本表民國二十七年以後，包括臺北帝國大學附屬醫院數字。(2)治療延人日數對於住院患者係計其住院日數，對於門診患者屬內科者則計其服藥日數數，屬內科以外者不論其按日受療與否，均以其治療全程計算,同時並加算治療最終日交付之服劑日數。"
Hygiene_Mt485,Mt485,1,,47,source,材料來源:根據前臺灣總督府各年統計書材料編製。
Hygiene_Mt486,Mt486,1,,42,source,材料來源:根據前臺灣總督府各年統計書材料編製。
Hygiene_Mt487-1,Mt487-1,1,民國前二年至民國十九年,29,note,附註：(1)本表各年疾病人數中包括上年遺留人數。
Hygiene_Mt487-2,Mt487-2,1,民國二十年至民國三十一年(2),35,note,附註：(1)本表各年疾病人數中包括上年遺留人數。(2)民國二十七年以後各年統計與表485所載不符，係以原本未將臺北帝國大學附屬醫院數字列入。
Hygiene_Mt487-2,Mt487-2,1,民國二十年至民國三十一年(2),36,source,材料來源：根據前臺灣總督府各年統計書材料編製。
Hygiene_Mt488,Mt488,1,民國前七年至民國十九年,35,note,附註:(1)本表各年疾病人數中包括上年遺留人數，民國前三年以前各年且包括住院人數。
Hygiene_Mt488,Mt488,4,民國二十年至三十一年(2),92,note,附註:(1)本表各年疾病人數中包括上年遺留人數，民國前三年以前各年且包括住院人數。(2)民國二十七年以後各年總計與表485所載不符，係以原本未將臺北帝國大學附屬醫院數字列入。
Hygiene_Mt488,Mt488,4,民國二十年至三十一年(2),93,source,材料來源:根據前臺灣總督府各年統計書材料編製。
Hygiene_Mt489,Mt489,1,民國前十五年至民國十九年,45,note,"附註:(1)本表各年疾病人數中包括上年遺留人數,民國前八年以前各年且包括省立醫院診療人數.(2)民國前十五年至民國前十三年總計欄中未加算骨及關節病數字."
Hygiene_Mt489,Mt489,3,民國二十年至二十九年,104,note,"附註:(1)本表各年疾病人數中包括上年遺留中數,民國前八年以前各年且包括省立醫院診療人數.(2)本年總計與細數之和不符係原本錯誤,無法修正,姑仍其舊.(3)本年總計與表486總計不符係原本錯誤,無法修正,姑仍其舊."
Hygiene_Mt489,Mt489,3,民國二十年至二十九年,105,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Hygiene_Mt490,Mt490,1,,52,note,附註：(1)本欄民國十四年以前各年數字包括於傷寒欄內。(2)流行性腦脊髓膜炎係民國七年六月始由總督府令指定為法定傳染病。(3)流行性腦膜炎係民國二十五年十月始由總督府令指定為法定傳染病。
Hygiene_Mt490,Mt490,1,,55,source,材料來源：根據前臺灣總督府各年統計書材料編製。
Hygiene_Mt491,Mt491,1,,52,note,附註：(1)記有「０」號之各欄表示有患者而無死亡者。
Hygiene_Mt491,Mt491,1,,53,source,材料來源：根據前臺灣總督府各年統計書材料編製。
Hygiene_Mt492,Mt492,2,民國十五年至二十九年(1),57,note,附註:(1)係受檢患者數.
Hygiene_Mt492,Mt492,2,民國十五年至二十九年(1),58,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Hygiene_Mt493,Mt493,2,民國前六年至民國三十一年,62,note,"附註:(1)本欄民國前六年至民國十八年第一、二期係指臺灣種痘規則中第一、二回種痘而言.該規則中所規定之第一回係嬰孩出生後未滿一年之內所施種者,第二回係於第一回種痘無反應時再度施種者.各年中常有第二回總數較第一回無反應為多者,係因包括上年未及再種而延至本年再種人數所致.民國十九年以後之第一期佈種則指對於嬰孩自出生日起至次年六月間所種牛痘而言,同時包括無反應者於次年六月前再種人數.第二期佈種係對於虛年齡十歲兒童所種者,同時包括無反應者於次年十二月前再種人數."
Hygiene_Mt493,Mt493,2,民國前六年至民國三十一年,65,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Hygiene_Mt494,Mt494,1,,53,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Hygiene_Mt495,Mt495,1,,43,note,附註：(1)本省總人口數係根據前臺灣總督府各年統計書材料刊列。(2)民國二十三年以後各年係年度底資料。
Hygiene_Mt495,Mt495,1,,44,source,材料來源：根據前臺灣總督府鑛工局土木課各年土木事業統計年報材料編製。
Hygiene_Mt496,Mt496,1,,140,source,材料來源:根據前臺灣總督府礦工局土木事業統計年報材料編製.
Hygiene_Mt497,Mt497,1,,29,source,材料來源：根據前臺灣總督府鑛工局各年土木事業統計年報材料編製.
Hygiene_Mt498,Mt498,1,,29,source,材料來源：根據前臺灣總督府鑛工局各年土木事業統計年報材料編製.
Welfare_Mt499,Mt499,1,,50,note,"附註:(1)本年上年遺留人數與上年年底遺留人數不等,係原本錯誤,無法修正,姑仍其舊.(2)原本以小數進位關係總數與細數尾數不符,無法修改,姑仍其舊."
Welfare_Mt499,Mt499,1,,51,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt500,Mt500,1,,50,note,"附註:(1)本表係按民國前十三年八月公佈之臺灣窮民救助規則規定範圍計列,該規則中規定:第一條凡日本國民(包括當時之本省人)在本省居住,孤獨無依,且具下列情形之一而確無營生能力者,得依照本規則救濟之.1.後天及先天殘廢或重病者.2.滿六十歲以上之衰老者.3.未滿十三歲者.第二條雖非孤獨而具前條所列情形之一,其扶養者因老幼、疾病、殘廢或失蹤、逃亡、在監等原因而不克受扶養時,亦可準用前條規定予以救濟.(2)係指後天殘疾.(3)係指先天殘疾.(4)本年總計與表499「本年救濟」欄所載數字不符係原書錯誤,無法修改,姑仍其舊."
Welfare_Mt500,Mt500,1,,54,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt501,Mt501,1,,49,note,"附註:(1)本年上年遺留人數與上年年底遺留人數不符係原本錯誤,無法修正,姑仍其舊."
Welfare_Mt501,Mt501,1,,50,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt502,Mt502,1,,47,note,"附註:(1)本表各年病人關係者還款數中因包括繳還前年中救護用款部份,故有較當年救護費用之數字為大者.(2)原本以小數進位關係,總數與細數尾數常有不符,無法修改,姑仍其舊."
Welfare_Mt502,Mt502,1,,48,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt503,Mt503,1,,49,note,附註:(1)本表包括行旅病人於救護中死亡人數.
Welfare_Mt503,Mt503,1,,50,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt504,Mt504,1,,51,note,附註:(1)本表包括行旅病人於救護中死亡所支費用及其關係者還款數。(2)原本以小數進位關係總數與細數尾數常有不符，無法修改，故仍其舊。
Welfare_Mt504,Mt504,1,,52,source,材料來源:根據前臺灣總督府各年統計書材料編製。
Welfare_Mt505,Mt505,1,,45,source,材料來源:根據前臺灣總督府各年統計書及前日本赤十字社臺灣支部統計材料編製.
Welfare_Mt506,Mt506,1,,41,note,"附註:(1)治療延人日數對於住院患者係計其在院日數,對於門診患屬內科者則計其服藥日數,屬內科以外者不論其按日受療與否均以其治療全程計算,同時並加算治療最終日交付之服劑日數.(2)本年上年遺留與上年年底遺留不符係原本錯誤,無法修正,姑仍其舊."
Welfare_Mt506,Mt506,1,,43,source,材料來源:根據前臺灣總督府各年統計書及前日本赤十字社臺灣支部統計材料編製.
Welfare_Mt507,Mt507,1,,40,note,"附註:(1)本表所謂廟宇者係指按照我國舊習建立之寺廟、齋堂及神明會而言.日本式寺院不包括本表內.(2)本表行政區域沿用前臺灣總督府地方官制中所定五州三廳制載列,該制施行前已分別加以歸併.(3)民國九年九月至十五年六月澎湖廳歸高雄州管轄,故該時期中各年數字包括在高雄州欄內."
Welfare_Mt507,Mt507,1,,42,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt508,Mt508,1,,28,note,"附註:(1)本表所謂寺院係指信奉日本式佛教之寺院而言.(2)外省人欄中包括少數其他外國人.(3)民國十五年六月以前澎湖廳歸高雄州管轄,故民國十二年至十四年間各年數字包括於高雄州欄內."
Welfare_Mt508,Mt508,1,,30,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt509,Mt509,1,,28,note,附註:(1)本表所謂寺院係指信奉日本式佛教之寺院而言.
Welfare_Mt509,Mt509,1,,29,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt510,Mt510,1,,53,note,附註:(1)外省人欄中包括少數其他外國人.
Welfare_Mt510,Mt510,1,,54,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt511,Mt511,1,,53,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt512,Mt512,1,,53,note,附註:(1)外省人欄中包括少數其他外國人.
Welfare_Mt512,Mt512,1,,54,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt513,Mt513,1,,48,note,"附註:(1)民國三十年以後日本基督教會、日本組合基督教會、日本聖教會、救世軍、日本梅瑟奇斯多教會通籌合併為日本基督教團,日本基督教會欄中所載數字實係該團之事實."
Welfare_Mt513,Mt513,1,,49,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt514,Mt514,1,,53,note,附註:(1)外省人欄中包括少數其他外國人.
Welfare_Mt514,Mt514,1,,54,source,材料來源:根據前臺灣總督府各年統計書材料編製.
Welfare_Mt515,Mt515,1,,48,note,附註:(1)本年係神宮派信徒數.
Welfare_Mt515,Mt515,1,,49,source,材料來源:根據前臺灣總督府各年統計書材料編製.
